head,relation,tail,label
dt_P48067,drug,drug_750,1
dt_P46721,drug,drug_2148,1
dt_Q9UNQ0,drug,drug_104775,1
dt_P46059,drug,drug_189729,1
dt_Q92887,drug,drug_9354,1
dt_Q9Y2C5,drug,drug_54687,1
dt_O95255,drug,drug_30323,1
dt_Q9UNQ0,drug,drug_3108,1
dt_Q92887,drug,drug_78759347,1
dt_Q16348,drug,drug_6713928,1
dt_Q9UNQ0,drug,drug_5997,1
dt_Q8IY50,drug,drug_6042,1
dt_P08183,drug,drug_4539,1
dt_O15245,drug,drug_43805,1
dt_O15245,drug,drug_2249,1
dt_Q4U2R8,drug,drug_442530,1
dt_Q9NYB5,drug,drug_5819,1
dt_O15244,drug,drug_4946,1
dt_P08183,drug,drug_3372,1
dt_P08183,drug,drug_52918379,1
dt_Q96FL8,drug,drug_4913,1
dt_Q9NP78,drug,drug_148123,1
dt_P08183,drug,drug_6917875,1
dt_O60669,drug,drug_92879,1
dt_P46721,drug,drug_6038,1
dt_Q9UNQ0,drug,drug_72402,1
dt_Q92887,drug,drug_5339,1
dt_Q9H015,drug,drug_72324,1
dt_Q9UBD6,drug,drug_222,1
dt_P48029,drug,drug_586,1
dt_Q12908,drug,drug_3035026,1
dt_P53985,drug,drug_60822,1
dt_Q2M3M2,drug,drug_108223,1
dt_Q13336,drug,drug_2723790,1
dt_O15438,drug,drug_12594,1
dt_P53985,drug,drug_338,1
dt_P08183,drug,drug_6918097,1
dt_O15244,drug,drug_297812,1
dt_P08183,drug,drug_6917778,1
dt_P08183,drug,drug_5405,1
dt_P46059,drug,drug_38103,1
dt_Q1EHB4,drug,drug_10413,1
dt_O15245,drug,drug_1102,1
dt_O75751,drug,drug_3306,1
dt_P08183,drug,drug_3559,1
dt_Q9Y6L6,drug,drug_3657,1
dt_P08183,drug,drug_5745,1
dt_O15439,drug,drug_3385,1
dt_O15244,drug,drug_4091,1
dt_P08183,drug,drug_3869,1
dt_Q14973,drug,drug_23666345,1
dt_Q9BZD2,drug,drug_6245,1
dt_O94956,drug,drug_5280360,1
dt_P33527,drug,drug_3001028,1
dt_Q92887,drug,drug_5280360,1
dt_O94956,drug,drug_5282451,1
dt_P08183,drug,drug_24821094,1
dt_P08183,drug,drug_9574101,1
dt_P08183,drug,drug_57379345,1
dt_Q05940,drug,drug_297812,1
dt_O75751,drug,drug_13597,1
dt_O15245,drug,drug_2966,1
dt_Q9NPD5,drug,drug_9833444,1
dt_P08183,drug,drug_135413536,1
dt_P08183,drug,drug_441300,1
dt_P46059,drug,drug_5064,1
dt_Q9UNQ0,drug,drug_4055,1
dt_Q16348,drug,drug_137,1
dt_P08183,drug,drug_5280489,1
dt_Q01959,drug,drug_11978813,1
dt_Q8TE54,drug,drug_943,1
dt_Q70HW3,drug,drug_34755,1
dt_P08183,drug,drug_8223,1
dt_P08183,drug,drug_2803,1
dt_Q9BZC7,drug,drug_5997,1
dt_P08183,drug,drug_66828839,1
dt_Q9Y6L6,drug,drug_44470395,1
dt_P08183,drug,drug_5481350,1
dt_Q9UHW9,drug,drug_4873,1
dt_Q9UHI7,drug,drug_54670067,1
dt_P08183,drug,drug_6918155,1
dt_Q9H1K4,drug,drug_33032,1
dt_O15245,drug,drug_4735,1
dt_P46721,drug,drug_4411,1
dt_P08183,drug,drug_3519,1
dt_Q8NFH8,drug,drug_216239,1
dt_P08183,drug,drug_5251896,1
