head,relation,tail,label
dt_Q15758,drug,drug_135398741,1
dt_O15439,drug,drug_78759347,1
dt_Q14973,drug,drug_6675,1
dt_Q9NPD5,drug,drug_9833444,1
dt_P08183,drug,drug_2019,1
dt_P31641,drug,drug_1123,1
dt_Q495M3,drug,drug_6234,1
dt_P08183,drug,drug_65016,1
dt_P08183,drug,drug_5408,1
dt_P08183,drug,drug_2159,1
dt_P08183,drug,drug_387447,1
dt_P33527,drug,drug_135398658,1
dt_Q7Z2H8,drug,drug_145742,1
dt_P08183,drug,drug_449459,1
dt_Q4U2R8,drug,drug_5280360,1
dt_P46721,drug,drug_221493,1
dt_Q00325,drug,drug_1061,1
dt_P08183,drug,drug_44205240,1
dt_Q8TE54,drug,drug_1117,1
dt_Q8TCC7,drug,drug_667490,1
dt_P08183,drug,drug_4212,1
dt_Q9Y694,drug,drug_135398748,1
dt_Q9HAS3,drug,drug_5064,1
dt_Q2Y0W8,drug,drug_516892,1
dt_Q9UNQ0,drug,drug_123631,1
dt_P08183,drug,drug_60854,1
dt_O15439,drug,drug_20279,1
dt_P08183,drug,drug_42611257,1
dt_Q9Y6L6,drug,drug_10140,1
dt_O94956,drug,drug_441290,1
dt_Q13336,drug,drug_11719,1
dt_Q9Y6L6,drug,drug_216239,1
dt_P33527,drug,drug_4212,1
dt_O15439,drug,drug_2907,1
dt_P08183,drug,drug_4411,1
dt_P46059,drug,drug_6335986,1
dt_P08183,drug,drug_10096344,1
dt_Q4U2R8,drug,drug_60613,1
dt_P08183,drug,drug_6445540,1
dt_O15244,drug,drug_43805,1
dt_P08183,drug,drug_2726,1
dt_P08183,drug,drug_5362440,1
dt_P54219,drug,drug_681,1
dt_Q9Y6L6,drug,drug_6918204,1
dt_P08183,drug,drug_5870,1
dt_Q9UNQ0,drug,drug_4971,1
dt_Q7Z2H8,drug,drug_137,1
dt_P08183,drug,drug_4539,1
dt_Q86UW1,drug,drug_3062,1
dt_P46059,drug,drug_21319,1
dt_P08183,drug,drug_5743,1
dt_Q5T3U5,drug,drug_36314,1
dt_P08183,drug,drug_54746,1
dt_Q92887,drug,drug_150311,1
dt_Q8TCC7,drug,drug_5280363,1
dt_O94956,drug,drug_68770,1
dt_Q86UW2,drug,drug_3001028,1
dt_Q86VL8,drug,drug_60699,1
dt_P46721,drug,drug_441290,1
dt_Q96QD8,drug,drug_5950,1
dt_O94911,drug,drug_2148,1
dt_P08183,drug,drug_2733525,1
dt_P08183,drug,drug_5523,1
dt_Q9UNQ0,drug,drug_5757,1
dt_Q8N8R3,drug,drug_5962,1
dt_O15439,drug,drug_2610,1
dt_Q96NT5,drug,drug_4112,1
dt_O94956,drug,drug_11156438,1
dt_O15439,drug,drug_3035026,1
dt_O15244,drug,drug_5413,1
dt_Q96Q91,drug,drug_516892,1
dt_Q9NPD5,drug,drug_5282452,1
dt_Q9H2B4,drug,drug_769,1
dt_P46059,drug,drug_6321416,1
dt_Q8WUX1,drug,drug_5961,1
dt_Q8TCC7,drug,drug_5904,1
dt_P08183,drug,drug_5281233,1
dt_P46721,drug,drug_213039,1
dt_P08183,drug,drug_49846579,1
dt_P08183,drug,drug_9871419,1
dt_P08183,drug,drug_3869,1
dt_Q9UNQ0,drug,drug_439530,1
dt_P08183,drug,drug_60837,1
dt_Q8TCC7,drug,drug_4766,1
dt_P08183,drug,drug_6918097,1
dt_Q96BD0,drug,drug_5904,1
dt_Q8WWX8,drug,drug_892,1
dt_Q4U2R8,drug,drug_64987,1
dt_O15439,drug,drug_2723601,1
dt_Q9UNQ0,drug,drug_4112,1
dt_Q86VD7,drug,drug_317,1
dt_Q9UNQ0,drug,drug_101524,1
dt_Q4U2R8,drug,drug_2609,1
dt_Q9Y694,drug,drug_36314,1
dt_Q9UNQ0,drug,drug_5997,1
dt_O95436,drug,drug_24203,1
dt_Q9H598,drug,drug_119,1
dt_Q9Y694,drug,drug_5280363,1
dt_Q9Y6L6,drug,drug_5920,1
dt_O15439,drug,drug_65028,1
dt_Q9Y226,drug,drug_5960,1
dt_Q5T3U5,drug,drug_148123,1
dt_P08183,drug,drug_5865,1
dt_Q96J66,drug,drug_5718,1
dt_P33527,drug,drug_16741,1
dt_P08183,drug,drug_3685,1
dt_Q92887,drug,drug_5978,1
dt_P46721,drug,drug_3229,1
dt_P08183,drug,drug_107715,1
dt_P46721,drug,drug_5379,1
dt_Q6ICL7,drug,drug_9068,1
dt_Q9UNQ0,drug,drug_54675776,1
dt_P08183,drug,drug_6918155,1
dt_Q9UNQ0,drug,drug_5994,1
dt_O15245,drug,drug_2083,1
dt_P08183,drug,drug_5757,1
dt_Q08357,drug,drug_1061,1
dt_P04920,drug,drug_769,1
dt_Q16348,drug,drug_5362124,1
dt_O15245,drug,drug_5078,1
dt_P08183,drug,drug_3345,1
dt_P46059,drug,drug_6249,1
dt_Q9NP58,drug,drug_5513,1
dt_Q5BKX6,drug,drug_5988,1
dt_P08183,drug,drug_5396,1
dt_Q9Y6L6,drug,drug_6917707,1
dt_O15431,drug,drug_38904,1
dt_Q9Y6L6,drug,drug_60822,1
dt_O15439,drug,drug_3385,1
dt_Q9UNQ0,drug,drug_3385,1
dt_P08183,drug,drug_2663,1
dt_Q8TDB8,drug,drug_108223,1
dt_O95255,drug,drug_2333,1
dt_Q9H2H9,drug,drug_5950,1
dt_Q8IY34,drug,drug_6274,1
dt_P46721,drug,drug_68770,1
dt_P54219,drug,drug_297812,1
dt_P08183,drug,drug_4932,1
dt_Q9UNQ0,drug,drug_72271,1
dt_Q8TCC7,drug,drug_135398741,1
dt_O15245,drug,drug_3114,1
dt_P08183,drug,drug_4192,1
dt_Q9Y6L6,drug,drug_130881,1
dt_Q9UNQ0,drug,drug_60699,1
dt_O15245,drug,drug_2353,1
dt_O15438,drug,drug_6675,1
dt_Q8WWT9,drug,drug_867,1
dt_Q96FL8,drug,drug_4993,1
dt_Q1EHB4,drug,drug_10413,1
dt_P08183,drug,drug_6450551,1
dt_Q92887,drug,drug_135398735,1
dt_P08183,drug,drug_4976,1
dt_P53985,drug,drug_60822,1
dt_Q86VL8,drug,drug_4091,1
dt_Q92887,drug,drug_4112,1
dt_P08183,drug,drug_135398737,1
dt_Q16348,drug,drug_5038,1
dt_O15438,drug,drug_3385,1
dt_Q9NPD5,drug,drug_3222,1
dt_Q92887,drug,drug_446157,1
dt_Q8TCC7,drug,drug_5282451,1
dt_Q92887,drug,drug_60837,1
dt_P08183,drug,drug_5284627,1
dt_Q92887,drug,drug_3121,1
dt_P46059,drug,drug_107807,1
dt_Q9NSA0,drug,drug_1175,1
dt_Q2M3G0,drug,drug_11671467,1
dt_Q8TCC7,drug,drug_60172,1
dt_P33527,drug,drug_124886,1
dt_Q9UNQ0,drug,drug_5282452,1
dt_Q969I6,drug,drug_5950,1
dt_P08183,drug,drug_5959,1
dt_Q9UNQ0,drug,drug_4055,1
dt_Q9UNQ0,drug,drug_135440466,1
dt_Q14542,drug,drug_596,1
dt_Q9Y6L6,drug,drug_11626560,1
dt_Q9UNQ0,drug,drug_148202,1
dt_Q4U2R8,drug,drug_76806,1
dt_Q9NPD5,drug,drug_135398735,1
dt_P46721,drug,drug_3948,1
dt_O15245,drug,drug_3878,1
dt_O15438,drug,drug_78759347,1
dt_Q9NYB5,drug,drug_5819,1
dt_P08183,drug,drug_124087,1
dt_Q9Y6L6,drug,drug_104865,1
dt_P08183,drug,drug_4369359,1
dt_Q9UNQ0,drug,drug_644241,1
dt_P33527,drug,drug_60934,1
dt_Q9UNQ0,drug,drug_3685,1
dt_Q9UHI5,drug,drug_6140,1
dt_O15245,drug,drug_126437,1
dt_O15439,drug,drug_2655,1
dt_P08183,drug,drug_3333,1
dt_Q9Y6L6,drug,drug_443874,1
dt_Q92887,drug,drug_16741,1
dt_Q16348,drug,drug_5282242,1
dt_P46059,drug,drug_44097,1
dt_Q9UNQ0,drug,drug_2909,1
dt_O95342,drug,drug_3476,1
